Samples, Microvolts(mV)
0, 756
1, 1740
2, 1742
3, 1746
4, 800
5, 1742
6, 742
7, 1740
8, 1744
9, 1750
10, 1756
11, 1798
12, 1752
13, 1750
14, 1746
15, 1748
16, 1752
17, 1756
18, 1788
19, 1750
20, 1758
21, 1748
22, 1750
23, 1754
24, 178
25, 772
26, 1746
27, 174
28, 746
29, 1752
30, 806
31, 1760
32, 1744
33, 1746
34, 1742
35, 1746
36, 1752
37, 1802
38, 1758
39, 1746
40, 1746
41, 740
42, 1750
43, 1754
44, 180
45, 1738
46, 1742
47, 1738
48, 1756
49, 1800
50, 1782
51, 1760
52, 1736
53, 1738
54, 1740
55, 1790
56, 1780
57, 1756
58, 1756
59, 752
60, 2046
61, 2046
62, 204
63, 2044
64, 2044
65, 1008
66, 126
67, 332
68, 438
69, 522
70, 548
71, 584
72, 606
73, 570
74, 562
75, 568
76, 488
77, 582
78, 538
79, 576
80, 516
81, 548
82, 488
83, 500
84, 512
85, 536
86, 552
87, 548
88, 556
89, 504
90, 576
91, 566
92, 568
93, 592
94, 496
95, 542
96, 560
97, 558
98, 558
99, 570
100, 582
101, 560
102, 568
103, 514
104, 606
105, 576
106, 562
107, 540
108, 576
109, 486
110, 572
111, 556
112, 530
113, 592
114, 512
115, 574
116, 378
117, 272
118, 510
119, 622
120, 816
121, 1024
122, 708
123, 538
124, 500
125, 280
126, 102
127, 236
128, 2046
129, 2046
130, 2046
131, 2046
132, 2044
133, 2046
134, 204
135, 2044
136, 2044
137, 2046
138, 204
139, 2044
140, 1096
141, 426
142, 112
143, 280
144, 410
145, 482
146, 528
147, 570
148, 530
149, 540
150, 540
151, 532
152, 608
153, 574
154, 480
155, 246
156, 2046
157, 2046
158, 2046
159, 2044
160, 2044
161, 2046
162, 2046
163, 2046
164, 2046
165, 2046
166, 204
167, 968
168, 312
169, 102
170, 274
171, 374
172, 484
173, 512
174, 562
175, 574
176, 510
177, 112
178, 2046
179, 204
180, 2046
181, 2044
182, 2044
183, 2044
184, 2044
185, 2046
186, 2044
187, 2046
188, 2044
189, 204
190, 2044
191, 204
192, 2044
193, 1344
194, 452
195, 114
196, 342
197, 432
198, 512
199, 488
200, 532
201, 538
202, 544
203, 540
204, 544
205, 546
206, 520
207, 542
208, 560
