'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1411.355
'0:00.004',1403.096
'0:00.008',1395.715
'0:00.012',1389.979
'0:00.016',1386.170
'0:00.020',1384.156
'0:00.023',1383.487
'0:00.027',1383.623
'0:00.031',1384.149
'0:00.035',1384.787
'0:00.039',1385.274
'0:00.043',1385.382
'0:00.047',1385.062
'0:00.051',1384.428
'0:00.055',1383.598
'0:00.059',1382.668
'0:00.063',1381.790
'0:00.066',1381.204
'0:00.070',1381.183
'0:00.074',1381.898
'0:00.078',1383.278
'0:00.082',1385.076
'0:00.086',1386.947
'0:00.090',1388.571
'0:00.094',1389.679
'0:00.098',1390.139
'0:00.102',1390.038
'0:00.105',1389.589
'0:00.109',1388.923
'0:00.113',1388.003
'0:00.117',1386.766
'0:00.121',1385.362
'0:00.125',1384.124
'0:00.129',1383.319
'0:00.133',1382.999
'0:00.137',1383.069
'0:00.141',1383.354
'0:00.145',1383.650
'0:00.148',1383.853
'0:00.152',1383.992
'0:00.156',1384.128
'0:00.160',1384.239
'0:00.164',1384.295
'0:00.168',1384.285
'0:00.172',1384.250
'0:00.176',1384.327
'0:00.180',1384.665
'0:00.184',1385.355
'0:00.188',1386.358
'0:00.191',1387.574
'0:00.195',1388.850
'0:00.199',1390.038
'0:00.203',1391.024
'0:00.207',1391.693
'0:00.211',1391.882
'0:00.215',1391.547
'0:00.219',1390.892
'0:00.223',1390.205
'0:00.227',1389.609
'0:00.230',1388.982
'0:00.234',1388.121
'0:00.238',1386.940
'0:00.242',1385.452
'0:00.246',1383.689
'0:00.250',1381.713
'0:00.254',1379.716
'0:00.258',1377.991
'0:00.262',1376.782
'0:00.266',1376.169
'0:00.270',1376.040
'0:00.273',1376.231
'0:00.277',1376.629
'0:00.281',1377.103
'0:00.285',1377.441
'0:00.289',1377.507
'0:00.293',1377.378
'0:00.297',1377.280
'0:00.301',1377.371
'0:00.305',1377.608
'0:00.309',1377.887
'0:00.313',1378.225
'0:00.316',1378.719
'0:00.320',1379.361
'0:00.324',1379.984
