'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1210.915
'0:00.004',1214.886
'0:00.008',1218.649
'0:00.012',1221.929
'0:00.016',1224.609
'0:00.020',1226.647
'0:00.023',1228.064
'0:00.027',1228.951
'0:00.031',1229.414
'0:00.035',1229.581
'0:00.039',1229.572
'0:00.043',1229.485
'0:00.047',1229.356
'0:00.051',1229.139
'0:00.055',1228.843
'0:00.059',1228.597
'0:00.063',1228.568
'0:00.066',1228.789
'0:00.070',1229.147
'0:00.074',1229.526
'0:00.078',1229.881
'0:00.082',1230.156
'0:00.086',1230.360
'0:00.090',1230.689
'0:00.094',1231.448
'0:00.098',1232.848
'0:00.102',1234.844
'0:00.105',1237.136
'0:00.109',1239.312
'0:00.113',1241.004
'0:00.117',1241.962
'0:00.121',1242.066
'0:00.125',1241.291
'0:00.129',1239.720
'0:00.133',1237.574
'0:00.137',1235.215
'0:00.141',1233.069
'0:00.145',1231.473
'0:00.148',1230.589
'0:00.152',1230.368
'0:00.156',1230.568
'0:00.160',1230.843
'0:00.164',1230.939
'0:00.168',1230.802
'0:00.172',1230.531
'0:00.176',1230.256
'0:00.180',1230.051
'0:00.184',1229.935
'0:00.188',1229.893
'0:00.191',1229.910
'0:00.195',1229.993
'0:00.199',1230.085
'0:00.203',1230.060
'0:00.207',1229.872
'0:00.211',1229.597
'0:00.215',1229.314
'0:00.219',1228.985
'0:00.223',1228.493
'0:00.227',1227.776
'0:00.230',1226.934
'0:00.234',1226.105
'0:00.238',1225.351
'0:00.242',1224.671
'0:00.246',1224.125
'0:00.250',1223.775
'0:00.254',1223.684
'0:00.258',1223.875
'0:00.262',1224.334
'0:00.266',1224.971
'0:00.270',1225.655
'0:00.273',1226.259
'0:00.277',1226.755
'0:00.281',1227.143
'0:00.285',1227.451
'0:00.289',1227.764
'0:00.293',1228.109
'0:00.297',1228.397
'0:00.301',1228.497
'0:00.305',1228.397
'0:00.309',1228.180
'0:00.313',1227.876
'0:00.316',1227.376
'0:00.320',1226.563
'0:00.324',1225.492
'0:00.328',1224.375
'0:00.332',1223.404
'0:00.336',1222.650
'0:00.340',1222.096
'0:00.344',1221.717
'0:00.348',1221.454
'0:00.352',1221.196
'0:00.355',1220.762
'0:00.359',1220.000
'0:00.363',1218.916
'0:00.367',1217.732
'0:00.371',1216.749
'0:00.375',1216.207
'0:00.379',1216.195
'0:00.383',1216.645
'0:00.387',1217.395
'0:00.391',1218.270
'0:00.395',1219.133
'0:00.398',1219.862
'0:00.402',1220.320
'0:00.406',1220.395
'0:00.410',1220.075
'0:00.414',1219.499
'0:00.418',1218.924
'0:00.422',1218.603
'0:00.426',1218.649
'0:00.430',1219.037
'0:00.434',1219.687
'0:00.438',1220.541
'0:00.441',1221.617
'0:00.445',1223.025
'0:00.449',1224.846
'0:00.453',1227.013
'0:00.457',1229.276
'0:00.461',1231.327
'0:00.465',1232.898
'0:00.469',1233.852
'0:00.473',1234.186
'0:00.477',1233.973
'0:00.480',1233.377
