'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1383.154
'0:00.004',1380.218
'0:00.008',1368.497
'0:00.012',1346.512
'0:00.016',1334.075
'0:00.020',1383.154
'0:00.023',1364.105
'0:00.027',1350.188
'0:00.031',1339.207
'0:00.035',1337.727
'0:00.039',1388.287
'0:00.043',1368.497
'0:00.047',1350.928
'0:00.051',1357.516
'0:00.055',1383.154
'0:00.059',1353.124
'0:00.063',1396.332
'0:00.066',1350.188
'0:00.070',1401.464
'0:00.074',1373.630
'0:00.078',1369.237
'0:00.082',1360.452
'0:00.086',1376.566
'0:00.090',1405.140
'0:00.094',1383.894
'0:00.098',1387.547
'0:00.102',1397.811
'0:00.105',1382.415
'0:00.109',1408.792
'0:00.113',1418.317
'0:00.117',1408.792
'0:00.121',1380.958
'0:00.125',1390.483
'0:00.129',1393.419
'0:00.133',1400.007
'0:00.137',1427.842
'0:00.141',1437.366
'0:00.145',1433.690
'0:00.148',1392.679
'0:00.152',1419.057
'0:00.156',1388.287
'0:00.160',1404.400
'0:00.164',1405.856
'0:00.168',1409.532
'0:00.172',1427.102
'0:00.176',1375.826
'0:00.180',1396.332
'0:00.184',1397.071
'0:00.188',1411.728
'0:00.191',1362.649
'0:00.195',1379.479
'0:00.199',1376.566
'0:00.203',1350.188
'0:00.207',1386.090
'0:00.211',1345.056
'0:00.215',1380.218
'0:00.219',1359.713
'0:00.223',1345.796
'0:00.227',1369.237
'0:00.230',1326.746
'0:00.234',1354.580
'0:00.238',1342.860
'0:00.242',1325.267
'0:00.246',1360.452
'0:00.250',1338.467
'0:00.254',1324.550
'0:00.258',1321.614
'0:00.262',1306.217
'0:00.266',1306.217
'0:00.270',1312.089
'0:00.273',1309.893
'0:00.277',1334.075
'0:00.281',1331.139
'0:00.285',1320.874
'0:00.289',1299.629
'0:00.293',1284.255
'0:00.297',1291.584
'0:00.301',1320.158
'0:00.305',1294.497
'0:00.309',1277.667
'0:00.313',1314.286
'0:00.316',1329.682
'0:00.320',1334.791
'0:00.324',1335.531
'0:00.328',1335.531
'0:00.332',1336.271
'0:00.336',1317.222
'0:00.340',1354.580
'0:00.344',1368.497
'0:00.348',1368.497
'0:00.352',1340.663
'0:00.355',1375.086
'0:00.359',1386.090
'0:00.363',1396.332
'0:00.367',1394.135
'0:00.371',1407.336
'0:00.375',1446.891
'0:00.379',1462.264
'0:00.383',1444.695
'0:00.387',1478.401
'0:00.391',1504.039
'0:00.395',1476.921
'0:00.398',1488.642
'0:00.402',1498.907
'0:00.406',1497.427
'0:00.410',1515.020
'0:00.414',1545.050
'0:00.418',1550.922
'0:00.422',1550.922
'0:00.426',1548.726
'0:00.430',1531.133
'0:00.434',1522.348
'0:00.438',1502.559
'0:00.441',1487.186
'0:00.445',1492.318
'0:00.449',1512.824
'0:00.453',1461.548
'0:00.457',1499.646
'0:00.461',1464.461
'0:00.465',1462.264
'0:00.469',1468.876
'0:00.473',1449.087
'0:00.477',1441.759
'0:00.480',1431.494
'0:00.484',1408.052
'0:00.488',1410.988
'0:00.492',1399.268
'0:00.496',1418.317
'0:00.500',1410.249
'0:00.504',1406.596
'0:00.508',1351.644
'0:00.512',1386.090
'0:00.516',1380.218
'0:00.520',1346.512
'0:00.523',1342.860
'0:00.527',1367.041
'0:00.531',1345.796
'0:00.535',1323.810
'0:00.539',1351.644
'0:00.543',1323.810
'0:00.547',1334.791
'0:00.551',1342.860
'0:00.555',1351.644
'0:00.559',1346.512
'0:00.563',1315.025
'0:00.566',1347.992
'0:00.570',1360.452
'0:00.574',1344.316
'0:00.578',1314.286
'0:00.582',1324.550
'0:00.586',1356.037
'0:00.590',1365.561
'0:00.594',1352.384
'0:00.598',1326.746
'0:00.602',1371.433
'0:00.605',1345.056
'0:00.609',1342.860
'0:00.613',1378.762
'0:00.617',1360.452
'0:00.621',1349.448
'0:00.625',1341.403
'0:00.629',1338.467
'0:00.633',1383.154
'0:00.637',1363.365
'0:00.641',1363.365
'0:00.645',1370.694
'0:00.648',1342.120
'0:00.652',1380.958
'0:00.656',1347.992
'0:00.660',1383.894
'0:00.664',1333.335
'0:00.668',1361.909
'0:00.672',1340.663
'0:00.676',1353.841
'0:00.680',1331.878
'0:00.684',1375.826
'0:00.688',1363.365
'0:00.691',1342.120
'0:00.695',1333.335
'0:00.699',1329.682
'0:00.703',1345.056
'0:00.707',1347.252
'0:00.711',1324.550
'0:00.715',1337.727
'0:00.719',1334.075
'0:00.723',1328.942
'0:00.727',1322.354
'0:00.730',1314.286
'0:00.734',1322.354
'0:00.738',1306.217
'0:00.742',1326.006
'0:00.746',1317.222
'0:00.750',1298.912
'0:00.754',1315.742
'0:00.758',1328.203
'0:00.762',1316.482
'0:00.766',1365.561
'0:00.770',1342.860
'0:00.773',1373.630
'0:00.777',1386.807
'0:00.781',1399.268
'0:00.785',1390.483
'0:00.789',1394.875
'0:00.793',1425.645
'0:00.797',1450.544
'0:00.801',1429.298
'0:00.805',1419.773
'0:00.809',1471.789
'0:00.813',1435.910
'0:00.816',1427.842
'0:00.820',1436.626
'0:00.824',1441.759
'0:00.828',1473.985
'0:00.832',1444.695
'0:00.836',1432.974
'0:00.840',1416.121
'0:00.844',1452.740
'0:00.848',1451.283
'0:00.852',1435.910
'0:00.855',1441.019
'0:00.859',1413.924
'0:00.863',1380.958
'0:00.867',1379.479
'0:00.871',1388.287
'0:00.875',1410.988
'0:00.879',1358.233
'0:00.883',1394.875
'0:00.887',1381.698
'0:00.891',1345.056
'0:00.895',1348.708
'0:00.898',1377.282
'0:00.902',1345.796
'0:00.906',1383.894
'0:00.910',1348.708
'0:00.914',1385.351
'0:00.918',1386.090
'0:00.922',1371.433
'0:00.926',1364.845
'0:00.930',1351.644
'0:00.934',1350.928
'0:00.938',1353.124
'0:00.941',1375.826
'0:00.945',1385.351
'0:00.949',1411.728
'0:00.953',1415.381
'0:00.957',1413.185
'0:00.961',1418.317
'0:00.965',1394.135
'0:00.969',1395.615
'0:00.973',1400.724
'0:00.977',1380.218
'0:00.980',1383.894
'0:00.984',1403.660
'0:00.988',1406.596
'0:00.992',1376.566
'0:00.996',1358.973
'0:01.000',1356.777
'0:01.004',1382.415
'0:01.008',1342.860
'0:01.012',1367.758
'0:01.016',1315.742
'0:01.020',1347.992
'0:01.023',1305.501
'0:01.027',1320.874
'0:01.031',1293.780
'0:01.035',1279.863
'0:01.039',1294.497
'0:01.043',1298.912
'0:01.047',1294.497
'0:01.051',1265.946
'0:01.055',1266.662
'0:01.059',1269.598
'0:01.063',1268.859
'0:01.066',1287.908
'0:01.070',1282.059
'0:01.074',1277.667
'0:01.078',1268.859
'0:01.082',1282.776
'0:01.086',1312.089
'0:01.090',1287.191
'0:01.094',1333.335
'0:01.098',1295.236
'0:01.102',1340.663
'0:01.105',1346.512
'0:01.109',1326.006
'0:01.113',1322.354
'0:01.117',1363.365
'0:01.121',1375.826
'0:01.125',1342.860
'0:01.129',1360.452
'0:01.133',1399.268
'0:01.137',1405.140
'0:01.141',1410.988
'0:01.145',1413.924
'0:01.148',1403.660
'0:01.152',1402.920
'0:01.156',1401.464
'0:01.160',1444.695
'0:01.164',1441.759
'0:01.168',1449.087
'0:01.172',1429.298
'0:01.176',1421.253
'0:01.180',1468.876
'0:01.184',1434.430
'0:01.188',1471.072
'0:01.191',1431.494
'0:01.195',1469.593
'0:01.199',1435.170
'0:01.203',1478.401
'0:01.207',1432.234
'0:01.211',1476.181
'0:01.215',1432.234
'0:01.219',1465.940
'0:01.223',1422.709
'0:01.227',1465.200
'0:01.230',1413.924
'0:01.234',1458.612
'0:01.238',1442.498
'0:01.242',1438.106
'0:01.246',1421.253
'0:01.250',1413.924
'0:01.254',1405.856
'0:01.258',1397.811
'0:01.262',1444.695
'0:01.266',1435.170
'0:01.270',1413.924
'0:01.273',1396.332
'0:01.277',1439.562
'0:01.281',1438.823
'0:01.285',1425.645
'0:01.289',1407.336
'0:01.293',1402.204
'0:01.297',1400.724
'0:01.301',1383.894
'0:01.305',1387.547
'0:01.309',1375.826
'0:01.313',1394.135
'0:01.316',1380.218
'0:01.320',1372.890
'0:01.324',1365.561
'0:01.328',1368.497
'0:01.332',1372.173
'0:01.336',1325.267
'0:01.340',1372.890
'0:01.344',1342.120
'0:01.348',1322.354
'0:01.352',1331.878
'0:01.355',1343.599
'0:01.359',1363.365
'0:01.363',1375.086
