'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1799.270
'0:00.004',1793.418
'0:00.008',1844.688
'0:00.012',1825.629
'0:00.016',1820.516
'0:00.020',1854.942
'0:00.023',1839.575
'0:00.027',1831.508
'0:00.031',1850.539
'0:00.035',1849.090
'0:00.039',1865.196
'0:00.043',1831.508
'0:00.047',1864.457
'0:00.051',1836.621
'0:00.055',1797.793
'0:00.059',1826.368
'0:00.063',1791.204
'0:00.066',1755.301
'0:00.070',1735.532
'0:00.074',1717.950
'0:00.078',1693.778
'0:00.082',1675.458
'0:00.086',1687.899
'0:00.090',1634.442
'0:00.094',1605.130
'0:00.098',1605.868
'0:00.102',1561.899
'0:00.105',1528.950
'0:00.109',1534.802
'0:00.113',1519.407
'0:00.117',1487.169
'0:00.121',1468.138
'0:00.125',1421.243
'0:00.129',1392.669
'0:00.133',1421.243
'0:00.137',1358.243
'0:00.141',1390.482
'0:00.145',1358.982
'0:00.148',1391.931
'0:00.152',1386.079
'0:00.156',1340.661
'0:00.160',1377.302
'0:00.164',1361.907
'0:00.168',1363.357
'0:00.172',1384.603
'0:00.176',1413.915
'0:00.180',1373.638
'0:00.184',1378.751
'0:00.188',1429.310
'0:00.191',1434.423
'0:00.195',1424.169
'0:00.199',1430.759
'0:00.203',1421.982
'0:00.207',1421.243
'0:00.211',1364.095
'0:00.215',1384.603
'0:00.219',1350.177
'0:00.223',1353.103
'0:00.227',1302.572
'0:00.230',1323.079
'0:00.234',1269.595
'0:00.238',1232.955
'0:00.242',1197.080
'0:00.246',1183.162
'0:00.250',1164.841
'0:00.254',1104.767
'0:00.258',1086.447
'0:00.262',1051.283
'0:00.266',1010.268
'0:00.270',996.350
'0:00.273',980.217
'0:00.277',954.568
'0:00.281',948.717
'0:00.285',931.135
'0:00.289',911.365
'0:00.293',921.619
'0:00.297',942.127
'0:00.301',956.045
'0:00.305',972.150
'0:00.309',975.815
'0:00.313',970.701
'0:00.316',1047.619
'0:00.320',1075.455
'0:00.324',1065.939
'0:00.328',1114.283
'0:00.332',1160.439
'0:00.336',1178.021
'0:00.340',1257.154
'0:00.344',1252.751
'0:00.348',1329.669
'0:00.352',1316.490
'0:00.355',1383.892
'0:00.359',1419.056
'0:00.363',1422.720
'0:00.367',1423.431
'0:00.371',1490.833
'0:00.375',1456.407
'0:00.379',1517.958
'0:00.383',1479.841
'0:00.387',1520.884
'0:00.391',1512.817
'0:00.395',1488.646
'0:00.398',1528.212
'0:00.402',1491.571
'0:00.406',1477.653
'0:00.410',1499.638
'0:00.414',1474.728
'0:00.418',1452.743
'0:00.422',1447.630
'0:00.426',1457.146
'0:00.430',1430.759
'0:00.434',1386.079
'0:00.438',1375.087
'0:00.441',1369.236
'0:00.445',1398.548
'0:00.449',1339.923
'0:00.453',1369.236
'0:00.457',1387.556
'0:00.461',1343.587
'0:00.465',1342.849
'0:00.469',1367.759
'0:00.473',1408.802
'0:00.477',1420.505
'0:00.480',1402.185
'0:00.484',1399.997
'0:00.488',1424.169
'0:00.492',1448.341
'0:00.496',1516.481
'0:00.500',1530.399
'0:00.504',1518.669
'0:00.508',1593.399
'0:00.512',1570.704
'0:00.516',1600.727
'0:00.520',1621.235
'0:00.523',1646.884
'0:00.527',1665.942
'0:00.531',1684.973
'0:00.535',1723.090
'0:00.539',1717.950
'0:00.543',1734.793
'0:00.547',1753.852
'0:00.551',1750.926
'0:00.555',1770.696
'0:00.559',1794.868
'0:00.563',1757.516
'0:00.566',1758.965
'0:00.570',1765.555
'0:00.574',1752.375
'0:00.578',1751.637
'0:00.582',1780.211
'0:00.586',1738.458
'0:00.590',1715.762
'0:00.594',1701.844
'0:00.598',1709.145
'0:00.602',1717.950
'0:00.605',1665.204
'0:00.609',1632.966
'0:00.613',1661.540
'0:00.617',1624.899
'0:00.621',1577.294
'0:00.625',1559.712
'0:00.629',1547.243
'0:00.633',1527.474
'0:00.637',1503.302
'0:00.641',1485.720
'0:00.645',1479.130
'0:00.648',1452.005
'0:00.652',1462.259
'0:00.656',1406.587
'0:00.660',1446.153
'0:00.664',1420.505
'0:00.668',1396.333
'0:00.672',1370.685
'0:00.676',1345.775
'0:00.680',1386.079
'0:00.684',1357.505
'0:00.688',1320.154
'0:00.691',1323.079
'0:00.695',1336.997
'0:00.699',1293.767
'0:00.703',1276.923
'0:00.707',1291.580
'0:00.711',1298.169
'0:00.715',1257.865
'0:00.719',1298.908
'0:00.723',1246.162
'0:00.727',1297.431
'0:00.730',1247.611
'0:00.734',1301.095
'0:00.738',1260.080
'0:00.742',1294.505
'0:00.746',1312.826
'0:00.750',1317.939
'0:00.754',1279.111
'0:00.758',1282.064
