'sample interval','wrist_ppg'
'0.00390625 sec','mV'
0,1220.715
1,1219.814
2,1218.984
3,1218.315
4,1217.811
5,1217.374
6,1216.880
7,1216.269
8,1215.533
9,1214.682
10,1213.755
11,1212.803
12,1211.893
13,1211.076
14,1210.390
15,1209.873
16,1209.530
17,1209.389
18,1209.459
19,1209.731
20,1210.131
21,1210.575
22,1211.005
23,1211.378
24,1211.671
25,1211.886
26,1212.054
27,1212.208
28,1212.373
29,1212.561
30,1212.783
31,1213.066
32,1213.442
33,1213.916
34,1214.454
35,1214.988
36,1215.435
37,1215.714
38,1215.795
39,1215.694
40,1215.459
41,1215.119
42,1214.679
43,1214.158
44,1213.623
45,1213.153
46,1212.817
47,1212.629
48,1212.561
49,1212.558
50,1212.585
51,1212.635
52,1212.686
53,1212.719
54,1212.726
55,1212.709
56,1212.696
57,1212.692
58,1212.703
59,1212.753
60,1212.864
61,1213.032
62,1213.257
63,1213.536
64,1213.862
65,1214.252
66,1214.699
67,1215.166
68,1215.640
69,1216.114
70,1216.561
71,1216.924
72,1217.149
73,1217.230
74,1217.247
75,1217.284
76,1217.378
77,1217.509
78,1217.667
79,1217.842
80,1217.966
81,1217.959
82,1217.794
83,1217.529
84,1217.240
85,1216.941
86,1216.601
87,1216.181
88,1215.660
89,1215.032
90,1214.349
91,1213.687
92,1213.113
93,1212.676
94,1212.454
95,1212.494
96,1212.773
97,1213.187
98,1213.634
99,1214.097
100,1214.655
101,1215.375
102,1216.228
103,1217.095
104,1217.825
105,1218.315
106,1218.534
107,1218.544
108,1218.443
109,1218.319
110,1218.228
111,1218.221
112,1218.268
113,1218.295
114,1218.235
115,1218.080
116,1217.838
117,1217.489
118,1217.011
119,1216.416
120,1215.758
121,1215.082
122,1214.447
123,1213.929
124,1213.610
125,1213.570
126,1213.849
127,1214.430
128,1215.243
129,1216.151
130,1216.984
131,1217.586
132,1217.889
133,1217.936
134,1217.805
135,1217.583
136,1217.314
137,1217.038
138,1216.823
139,1216.773
140,1216.934
141,1217.274
142,1217.704
143,1218.194
144,1218.762
145,1219.438
146,1220.171
147,1220.826
148,1221.266
149,1221.411
150,1221.253
151,1220.870
152,1220.403
153,1220.023
154,1219.865
155,1219.949
156,1220.167
157,1220.349
158,1220.315
159,1219.946
160,1219.193
161,1218.094
162,1216.769
163,1215.401
164,1214.155
165,1213.133
166,1212.323
167,1211.644
168,1211.029
169,1210.518
170,1210.219
171,1210.246
172,1210.649
173,1211.459
174,1212.662
175,1214.212
176,1216.030
177,1218.013
178,1220.006
179,1221.831
180,1223.290
181,1224.211
182,1224.516
183,1224.204
184,1223.360
185,1222.130
186,1220.678
187,1219.112
188,1217.509
189,1215.983
190,1214.712
191,1213.852
192,1213.523
193,1213.781
194,1214.638
195,1216.027
196,1217.818
197,1219.774
198,1221.616
199,1223.088
200,1224.043
201,1224.422
202,1224.234
203,1223.552
204,1222.507
205,1221.287
206,1220.100
207,1219.102
208,1218.369
209,1217.872
210,1217.542
211,1217.321
212,1217.166
213,1217.021
214,1216.796
215,1216.440
216,1215.969
217,1215.442
218,1214.884
219,1214.312
220,1213.795
221,1213.449
222,1213.402
223,1213.728
224,1214.433
225,1215.452
226,1216.655
227,1217.879
228,1218.964
229,1219.771
230,1220.184
231,1220.161
232,1219.707
233,1218.860
234,1217.710
235,1216.420
236,1215.203
237,1214.269
238,1213.724
239,1213.570
240,1213.714
241,1214.070
242,1214.612
243,1215.334
244,1216.174
245,1217.011
246,1217.731
247,1218.292
248,1218.746
249,1219.169
250,1219.596
251,1220.040
252,1220.507
253,1220.981
254,1221.431
255,1221.808
256,1222.070
257,1222.167
258,1222.090
259,1221.895
260,1221.683
261,1221.545
262,1221.535
263,1221.643
264,1221.808
265,1221.965
266,1222.097
267,1222.228
268,1222.372
269,1222.544
270,1222.742
271,1222.937
272,1223.075
273,1223.128
274,1223.105
275,1223.028
276,1222.933
277,1222.860
278,1222.829
279,1222.856
280,1222.913
281,1222.933
282,1222.866
283,1222.695
284,1222.433
285,1222.070
286,1221.602
287,1221.028
288,1220.376
289,1219.714
290,1219.088
291,1218.494
292,1217.919
293,1217.428
294,1217.119
295,1217.062
296,1217.263
297,1217.657
298,1218.117
299,1218.483
300,1218.628
301,1218.510
302,1218.208
303,1217.885
304,1217.694
305,1217.731
306,1218.016
307,1218.504
308,1219.062
309,1219.512
310,1219.690
311,1219.532
312,1219.082
313,1218.436
314,1217.690
315,1216.978
316,1216.413
317,1216.067
318,1215.943
319,1216.040
320,1216.322
321,1216.753
322,1217.304
323,1217.936
324,1218.584
325,1219.156
326,1219.535
327,1219.677
328,1219.613
329,1219.398
330,1219.099
331,1218.766
332,1218.403
333,1217.983
334,1217.539
335,1217.112
336,1216.739
337,1216.440
338,1216.222
339,1216.053
340,1215.885
341,1215.660
342,1215.398
343,1215.126
344,1214.867
345,1214.638
346,1214.467
347,1214.353
348,1214.252
349,1214.111
350,1213.909
351,1213.650
352,1213.355
353,1213.055
354,1212.783
355,1212.561
356,1212.403
357,1212.326
358,1212.346
359,1212.481
360,1212.719
361,1213.052
362,1213.445
363,1213.872
364,1214.312
365,1214.770
366,1215.243
367,1215.701
368,1216.077
369,1216.319
370,1216.420
371,1216.420
372,1216.363
373,1216.295
374,1216.242
375,1216.178
376,1216.057
377,1215.882
378,1215.690
379,1215.536
380,1215.432
381,1215.371
382,1215.341
383,1215.301
384,1215.217
385,1215.052
386,1214.823
387,1214.541
388,1214.215
389,1213.862
390,1213.539
391,1213.311
392,1213.200
393,1213.213
394,1213.338
395,1213.516
396,1213.687
397,1213.812
398,1213.876
399,1213.865
400,1213.788
401,1213.657
402,1213.496
403,1213.351
404,1213.247
405,1213.180
406,1213.133
407,1213.079
408,1212.988
409,1212.861
410,1212.723
411,1212.582
412,1212.464
413,1212.390
414,1212.346
415,1212.282
416,1212.148
417,1211.930
418,1211.661
419,1211.412
420,1211.254
421,1211.227
422,1211.321
423,1211.476
424,1211.620
425,1211.718
426,1211.748
427,1211.725
428,1211.661
429,1211.543
430,1211.358
431,1211.079
432,1210.686
433,1210.205
434,1209.681
435,1209.157
436,1208.676
437,1208.290
438,1208.017
439,1207.873
440,1207.849
441,1207.859
442,1207.745
443,1207.359
444,1206.659
445,1205.755
446,1204.845
447,1204.108
448,1203.675
449,1203.604
450,1203.914
451,1204.572
452,1205.510
453,1206.612
454,1207.748
455,1208.824
456,1209.839
457,1210.817
458,1211.772
459,1212.706
460,1213.623
461,1214.511
462,1215.361
463,1216.215
464,1217.156
465,1218.221
466,1219.391
467,1220.567
468,1221.623
469,1222.446
470,1223.021
471,1223.394
472,1223.633
473,1223.723
474,1223.579
475,1223.105
476,1222.251
477,1221.045
478,1219.576
479,1217.959
480,1216.272
481,1214.554
482,1212.894
483,1211.446
484,1210.350
485,1209.671
486,1209.345
487,1209.224
488,1209.184
489,1209.150
490,1209.089
491,1208.992
492,1208.881
493,1208.760
494,1208.619
495,1208.498
496,1208.478
497,1208.612
498,1208.868
499,1209.180
500,1209.476
501,1209.728
502,1209.940
503,1210.172
504,1210.451
505,1210.763
506,1211.072
507,1211.351
508,1211.607
509,1211.842
510,1212.047
511,1212.208
512,1212.306
513,1212.245
514,1211.896
515,1211.167
516,1210.088
517,1208.811
518,1207.564
519,1206.572
520,1205.984
521,1205.843
522,1206.132
523,1206.757
524,1207.590
525,1208.505
526,1209.432
527,1210.353
528,1211.288
529,1212.205
530,1213.022
531,1213.671
532,1214.188
533,1214.659
534,1215.133
535,1215.596
536,1216.047
537,1216.464
538,1216.820
539,1217.075
540,1217.223
541,1217.284
542,1217.300
543,1217.267
544,1217.156
545,1217.005
546,1216.911
547,1216.968
548,1217.173
549,1217.442
550,1217.707
551,1217.949
552,1218.164
553,1218.305
554,1218.278
555,1217.989
556,1217.421
557,1216.638
558,1215.801
559,1215.082
560,1214.615
561,1214.450
562,1214.558
563,1214.830
564,1215.109
565,1215.220
566,1215.089
567,1214.793
568,1214.494
569,1214.312
570,1214.252
571,1214.265
572,1214.319
573,1214.410
574,1214.538
575,1214.696
576,1214.857
577,1214.951
578,1214.904
579,1214.689
580,1214.329
