'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1388.412
'0:00.004',1388.178
'0:00.008',1387.805
'0:00.012',1387.440
'0:00.016',1387.149
'0:00.020',1386.940
'0:00.023',1386.797
'0:00.027',1386.702
'0:00.031',1386.715
'0:00.035',1386.924
'0:00.039',1387.346
'0:00.043',1387.912
'0:00.047',1388.576
'0:00.051',1389.297
'0:00.055',1390.043
'0:00.059',1390.773
'0:00.063',1391.412
'0:00.066',1391.859
'0:00.070',1391.945
'0:00.074',1391.527
'0:00.078',1390.568
'0:00.082',1389.063
'0:00.086',1387.034
'0:00.090',1384.591
'0:00.094',1382.000
'0:00.098',1379.557
'0:00.102',1377.503
'0:00.105',1375.966
'0:00.109',1374.950
'0:00.113',1374.433
'0:00.117',1374.421
'0:00.121',1374.929
'0:00.125',1375.913
'0:00.129',1377.241
'0:00.133',1378.688
'0:00.137',1380.020
'0:00.141',1381.127
'0:00.145',1382.009
'0:00.148',1382.689
'0:00.152',1383.103
'0:00.156',1383.136
'0:00.160',1382.681
'0:00.164',1381.804
'0:00.168',1380.734
'0:00.172',1379.758
'0:00.176',1379.041
'0:00.180',1378.569
'0:00.184',1378.159
'0:00.188',1377.598
'0:00.191',1376.790
'0:00.195',1375.851
'0:00.199',1374.978
'0:00.203',1374.249
'0:00.207',1373.613
'0:00.211',1372.941
'0:00.215',1372.170
'0:00.219',1371.330
'0:00.223',1370.481
'0:00.227',1369.686
'0:00.230',1369.010
'0:00.234',1368.522
'0:00.238',1368.255
'0:00.242',1368.177
'0:00.246',1368.186
'0:00.250',1368.182
'0:00.254',1368.100
'0:00.258',1367.997
'0:00.262',1367.973
'0:00.266',1368.067
'0:00.270',1368.251
'0:00.273',1368.522
'0:00.277',1368.895
'0:00.281',1369.387
'0:00.285',1369.948
'0:00.289',1370.477
'0:00.293',1370.854
'0:00.297',1371.039
'0:00.301',1371.067
'0:00.305',1370.981
'0:00.309',1370.817
'0:00.313',1370.658
'0:00.316',1370.530
'0:00.320',1370.428
'0:00.324',1370.326
'0:00.328',1370.170
'0:00.332',1369.903
'0:00.336',1369.567
'0:00.340',1369.268
'0:00.344',1369.071
'0:00.348',1368.956
'0:00.352',1368.870
'0:00.355',1368.731
'0:00.359',1368.456
'0:00.363',1367.993
'0:00.367',1367.345
'0:00.371',1366.542
'0:00.375',1365.640
'0:00.379',1364.714
'0:00.383',1363.799
'0:00.387',1362.861
'0:00.391',1361.889
'0:00.395',1360.922
'0:00.398',1360.090
'0:00.402',1359.635
'0:00.406',1359.794
'0:00.410',1360.655
'0:00.414',1362.102
'0:00.418',1363.910
'0:00.422',1365.816
'0:00.426',1367.599
'0:00.430',1369.088
'0:00.434',1370.182
'0:00.438',1370.879
'0:00.441',1371.268
'0:00.445',1371.445
'0:00.449',1371.506
'0:00.453',1371.527
'0:00.457',1371.563
'0:00.461',1371.600
'0:00.465',1371.555
'0:00.469',1371.338
'0:00.473',1370.961
'0:00.477',1370.535
'0:00.480',1370.166
'0:00.484',1369.899
'0:00.488',1369.707
'0:00.492',1369.510
'0:00.496',1369.194
'0:00.500',1368.760
'0:00.504',1368.305
'0:00.508',1367.891
'0:00.512',1367.517
'0:00.516',1367.194
'0:00.520',1366.993
'0:00.523',1367.017
'0:00.527',1367.304
'0:00.531',1367.821
'0:00.535',1368.469
'0:00.539',1369.092
'0:00.543',1369.514
'0:00.547',1369.620
'0:00.551',1369.424
'0:00.555',1369.042
'0:00.559',1368.596
'0:00.563',1368.194
'0:00.566',1367.899
'0:00.570',1367.731
'0:00.574',1367.599
'0:00.578',1367.362
