'sample interval','wrist_ppg'
'0.00390625 sec','mV'
0,694.546
1,685.640
2,677.573
3,671.003
4,666.440
5,664.360
6,664.980
7,668.557
8,675.237
9,684.983
10,697.795
11,713.527
12,731.851
13,752.218
14,774.119
15,797.115
16,820.877
17,845.151
18,869.643
19,894.062
20,918.153
21,941.806
22,964.984
23,987.506
24,1008.968
25,1029.190
26,1048.098
27,1065.545
28,1081.569
29,1096.279
30,1110.040
31,1123.290
32,1136.394
33,1149.389
34,1162.237
35,1174.794
36,1186.949
37,1198.812
38,1210.528
39,1222.172
40,1233.853
41,1245.606
42,1257.433
43,1269.295
44,1281.049
45,1292.656
46,1304.118
47,1315.470
48,1326.785
49,1337.991
50,1348.978
51,1359.746
52,1370.295
53,1380.515
54,1390.334
55,1399.605
56,1408.365
57,1416.688
58,1424.718
59,1432.529
60,1440.267
61,1447.860
62,1455.270
63,1462.424
64,1469.249
65,1475.601
66,1481.331
67,1486.442
68,1490.968
69,1494.873
70,1498.195
71,1501.042
72,1503.561
73,1506.116
74,1508.780
75,1511.737
76,1515.132
77,1519.220
78,1524.293
79,1530.535
80,1537.908
81,1546.340
82,1555.539
83,1565.065
84,1574.483
85,1583.133
86,1590.507
87,1596.310
88,1600.435
89,1602.954
90,1604.012
91,1603.866
92,1602.917
93,1601.786
94,1600.983
95,1600.946
96,1601.822
97,1603.720
98,1606.494
99,1609.816
100,1613.466
101,1617.189
102,1621.095
103,1625.402
104,1630.512
105,1636.790
106,1644.456
107,1653.544
108,1664.130
109,1676.321
110,1690.301
111,1706.070
112,1723.700
113,1743.119
114,1764.362
115,1787.358
116,1811.851
117,1837.511
118,1864.157
119,1891.606
120,1919.712
121,1948.292
122,1977.055
123,2005.709
124,2033.961
125,2061.373
126,2087.545
127,2112.037
128,2134.449
129,2154.415
130,2171.753
131,2186.317
132,2198.180
133,2207.269
134,2213.547
135,2216.942
136,2217.526
137,2215.190
138,2209.970
139,2201.794
140,2190.661
141,2176.681
142,2159.927
143,2140.399
144,2118.279
