'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1166.400
'0:00.004',1179.777
'0:00.008',1192.271
'0:00.012',1203.308
'0:00.016',1212.535
'0:00.020',1219.907
'0:00.023',1225.382
'0:00.027',1229.179
'0:00.031',1231.651
'0:00.035',1233.373
'0:00.039',1234.874
'0:00.043',1236.640
'0:00.047',1238.891
'0:00.051',1241.849
'0:00.055',1245.690
'0:00.059',1250.590
'0:00.063',1256.771
'0:00.066',1264.497
'0:00.070',1274.077
'0:00.074',1285.644
'0:00.078',1299.286
'0:00.082',1314.959
'0:00.086',1332.618
'0:00.090',1351.999
'0:00.094',1372.661
'0:00.098',1394.073
'0:00.102',1415.838
'0:00.105',1437.603
'0:00.109',1458.971
'0:00.113',1479.411
'0:00.117',1498.263
'0:00.121',1514.818
'0:00.125',1528.284
'0:00.129',1538.129
'0:00.133',1543.912
'0:00.137',1545.325
'0:00.141',1542.190
'0:00.145',1534.155
'0:00.148',1521.087
'0:00.152',1502.678
'0:00.156',1478.661
'0:00.160',1448.684
'0:00.164',1412.571
'0:00.168',1370.409
'0:00.172',1322.817
'0:00.176',1270.678
'0:00.180',1215.095
'0:00.184',1157.393
'0:00.188',1098.853
'0:00.191',1040.709
'0:00.195',983.979
'0:00.199',929.279
'0:00.203',876.963
'0:00.207',827.031
'0:00.211',779.395
'0:00.215',734.011
'0:00.219',691.098
'0:00.223',651.012
'0:00.227',614.104
'0:00.230',580.639
'0:00.234',550.707
'0:00.238',524.350
'0:00.242',501.702
'0:00.246',482.762
'0:00.250',467.354
'0:00.254',455.170
'0:00.258',446.119
'0:00.262',440.027
'0:00.266',436.848
'0:00.270',436.539
'0:00.273',439.232
'0:00.277',444.971
'0:00.281',454.022
'0:00.285',466.295
'0:00.289',481.703
'0:00.293',500.024
'0:00.297',521.083
'0:00.301',544.438
'0:00.305',569.646
'0:00.309',596.312
'0:00.313',624.258
'0:00.316',653.352
'0:00.320',683.417
'0:00.324',714.276
'0:00.328',745.931
'0:00.332',778.556
'0:00.336',812.286
'0:00.340',847.384
'0:00.344',883.983
'0:00.348',922.259
'0:00.352',961.904
'0:00.355',1002.300
'0:00.359',1042.652
'0:00.363',1082.253
'0:00.367',1120.441
'0:00.371',1156.864
'0:00.375',1191.299
'0:00.379',1223.616
'0:00.383',1253.460
'0:00.387',1280.435
'0:00.391',1304.363
'0:00.395',1324.936
'0:00.398',1342.154
'0:00.402',1355.928
'0:00.406',1366.303
'0:00.410',1373.367
'0:00.414',1377.120
'0:00.418',1377.649
'0:00.422',1375.177
'0:00.426',1370.056
'0:00.430',1362.551
'0:00.434',1352.882
'0:00.438',1341.006
'0:00.441',1326.791
'0:00.445',1310.191
'0:00.449',1291.428
'0:00.453',1270.722
'0:00.457',1248.295
'0:00.461',1224.278
'0:00.465',1198.849
'0:00.469',1172.227
'0:00.473',1144.811
'0:00.477',1116.821
'0:00.480',1088.831
'0:00.484',1061.282
'0:00.488',1034.705
'0:00.492',1009.540
'0:00.496',986.142
'0:00.500',964.774
'0:00.504',945.614
'0:00.508',928.881
'0:00.512',914.798
'0:00.516',903.540
'0:00.520',895.329
'0:00.523',890.516
'0:00.527',889.457
'0:00.531',892.547
'0:00.535',900.185
'0:00.539',912.591
'0:00.543',929.985
'0:00.547',952.368
'0:00.551',979.564
'0:00.555',1011.351
'0:00.559',1047.376
'0:00.563',1087.065
'0:00.566',1129.580
'0:00.570',1173.993
'0:00.574',1219.245
'0:00.578',1264.276
'0:00.582',1308.027
'0:00.586',1349.704
'0:00.590',1388.422
'0:00.594',1423.299
'0:00.598',1453.452
'0:00.602',1477.910
'0:00.605',1496.144
'0:00.609',1507.931
'0:00.613',1513.626
'0:00.617',1513.715
'0:00.621',1508.858
'0:00.625',1499.940
'0:00.629',1488.109
'0:00.633',1474.599
'0:00.637',1460.604
'0:00.641',1447.227
'0:00.645',1434.998
'0:00.648',1424.182
'0:00.652',1414.557
'0:00.656',1405.816
'0:00.660',1397.428
'0:00.664',1389.172
'0:00.668',1380.828
'0:00.672',1372.352
'0:00.676',1363.478
'0:00.680',1353.986
'0:00.684',1343.832
'0:00.688',1333.148
'0:00.691',1322.376
'0:00.695',1312.177
'0:00.699',1303.259
'0:00.703',1296.240
'0:00.707',1291.737
'0:00.711',1290.059
'0:00.715',1291.472
'0:00.719',1296.063
'0:00.723',1303.657
'0:00.727',1313.988
'0:00.730',1326.791
'0:00.734',1341.845
'0:00.738',1359.019
'0:00.742',1378.047
'0:00.746',1398.576
'0:00.750',1420.208
'0:00.754',1442.680
'0:00.758',1465.946
'0:00.762',1489.963
'0:00.766',1514.730
'0:00.770',1540.248
'0:00.773',1566.428
'0:00.777',1593.358
'0:00.781',1620.995
'0:00.785',1649.118
'0:00.789',1677.196
'0:00.793',1704.745
'0:00.797',1731.189
'0:00.801',1756.354
'0:00.805',1780.106
'0:00.809',1802.666
'0:00.813',1824.166
'0:00.816',1844.651
'0:00.820',1864.208
'0:00.824',1882.795
'0:00.828',1900.543
'0:00.832',1917.407
'0:00.836',1933.389
'0:00.840',1948.444
'0:00.844',1962.306
'0:00.848',1974.888
'0:00.852',1985.970
'0:00.855',1995.285
'0:00.859',2002.614
'0:00.863',2007.779
'0:00.867',2010.649
'0:00.871',2011.178
'0:00.875',2009.280
'0:00.879',2005.174
'0:00.883',1998.949
'0:00.887',1990.782
'0:00.891',1980.848
'0:00.895',1969.370
'0:00.898',1956.479
'0:00.902',1942.439
'0:00.906',1927.208
'0:00.910',1910.873
'0:00.914',1893.391
'0:00.918',1875.025
'0:00.922',1855.909
'0:00.926',1836.351
'0:00.930',1816.749
'0:00.934',1797.412
'0:00.938',1778.561
