'sample interval','wrist_ppg'
'0.00390625 sec','mV'
0,1284.252
1,1258.611
2,1287.182
3,1276.920
4,1273.990
5,1268.866
6,1260.805
7,1246.884
8,1255.681
9,1243.954
10,1276.191
11,1254.209
12,1259.340
13,1286.446
14,1324.543
15,1329.674
16,1336.262
17,1373.623
18,1345.788
19,1361.174
20,1390.474
21,1379.490
22,1397.070
23,1441.755
24,1408.061
25,1447.623
26,1434.430
27,1425.640
28,1439.561
29,1444.685
30,1473.263
31,1449.816
32,1443.220
33,1458.606
34,1468.868
35,1457.877
36,1443.220
37,1442.491
38,1442.491
39,1452.746
40,1436.631
41,1441.026
42,1434.430
43,1437.360
44,1435.166
45,1449.087
46,1439.561
47,1471.062
48,1468.868
49,1462.272
50,1445.421
51,1435.166
52,1417.579
53,1428.570
54,1414.649
55,1443.220
56,1421.982
57,1401.465
58,1421.982
59,1394.869
60,1367.034
61,1382.420
62,1363.368
63,1367.763
64,1340.657
65,1334.069
66,1373.623
67,1338.464
68,1315.016
69,1310.622
70,1330.402
71,1340.657
72,1303.297
73,1294.507
74,1291.577
75,1293.042
76,1297.437
77,1321.613
78,1315.016
79,1353.113
80,1308.428
81,1348.718
82,1328.209
83,1327.472
84,1324.543
85,1356.779
86,1353.113
87,1298.902
88,1315.016
89,1320.876
90,1279.121
91,1304.033
92,1315.016
93,1283.516
94,1258.611
95,1263.735
96,1301.095
97,1282.051
98,1265.936
99,1254.209
100,1284.981
101,1297.437
102,1293.042
103,1273.261
104,1282.051
105,1311.358
106,1275.455
107,1279.121
108,1280.586
109,1296.701
110,1323.806
111,1328.209
112,1288.647
113,1338.464
114,1304.762
115,1312.823
116,1341.393
117,1351.648
118,1339.192
119,1328.937
120,1322.341
121,1318.683
122,1362.639
123,1315.753
124,1354.578
125,1361.174
126,1336.999
127,1336.262
128,1367.034
129,1323.806
130,1345.788
131,1328.209
132,1319.411
133,1360.438
134,1328.209
135,1360.438
136,1323.806
137,1326.744
138,1356.043
139,1311.358
140,1355.314
141,1347.253
142,1347.982
143,1354.578
144,1339.928
145,1327.472
146,1343.587
147,1323.078
148,1364.104
149,1323.806
150,1322.341
151,1350.183
152,1367.034
153,1332.604
154,1361.174
155,1354.578
156,1372.158
157,1333.332
158,1369.228
159,1340.657
160,1382.420
161,1343.587
162,1388.280
163,1368.499
164,1345.052
165,1388.280
166,1372.894
167,1364.833
168,1386.079
169,1374.359
170,1362.639
171,1368.499
172,1321.613
173,1353.849
174,1307.692
175,1305.498
176,1309.893
177,1311.358
178,1324.543
179,1309.157
180,1306.963
181,1307.692
182,1348.718
183,1347.253
184,1339.192
185,1383.149
186,1352.384
187,1356.779
188,1378.754
189,1397.070
190,1390.474
191,1433.702
192,1414.649
193,1399.271
194,1439.561
195,1422.710
196,1428.570
197,1431.500
198,1429.307
199,1431.500
200,1434.430
201,1406.596
202,1426.377
203,1398.535
204,1418.316
205,1387.544
206,1423.447
207,1404.395
208,1394.140
209,1386.815
210,1392.675
211,1409.526
212,1412.456
213,1394.869
214,1407.325
215,1405.860
216,1390.474
217,1408.789
218,1391.210
219,1380.219
220,1373.623
221,1396.333
222,1415.386
223,1411.719
224,1395.605
225,1372.894
226,1392.675
227,1403.666
228,1367.034
229,1404.395
230,1395.605
231,1396.333
232,1402.201
233,1356.043
234,1369.964
235,1384.614
236,1393.404
237,1389.745
238,1347.253
239,1383.885
240,1364.104
241,1361.903
242,1355.314
243,1371.429
244,1339.192
245,1320.148
246,1361.174
247,1326.007
248,1335.534
249,1326.007
250,1339.928
251,1344.323
252,1318.683
253,1327.472
254,1335.534
255,1333.332
256,1327.472
257,1306.227
258,1304.762
259,1289.376
260,1329.674
261,1294.507
262,1313.551
263,1262.270
264,1293.042
265,1276.920
266,1293.042
267,1273.990
268,1249.085
269,1238.094
270,1240.296
271,1244.690
272,1247.620
273,1262.270
274,1272.525
275,1295.236
276,1297.437
277,1287.911
278,1276.191
279,1260.076
280,1269.595
281,1265.936
282,1275.455
283,1317.218
284,1293.771
285,1300.367
286,1287.182
287,1300.367
288,1307.692
289,1301.095
290,1316.481
291,1329.674
292,1300.367
293,1334.069
294,1345.052
295,1353.113
296,1333.332
297,1357.508
298,1358.973
299,1360.438
300,1356.043
301,1339.928
302,1312.087
303,1356.779
304,1334.069
305,1313.551
306,1359.709
307,1325.271
308,1335.534
309,1336.999
310,1339.192
311,1325.271
312,1347.982
313,1362.639
314,1369.228
315,1369.964
316,1372.158
317,1368.499
318,1340.657
319,1331.867
320,1371.429
321,1340.657
322,1378.025
323,1375.824
324,1337.727
325,1348.718
326,1362.639
327,1355.314
328,1370.693
329,1380.219
330,1367.034
331,1362.639
332,1378.025
333,1371.429
334,1402.201
335,1388.280
336,1364.833
337,1379.490
338,1375.824
339,1386.079
340,1394.869
341,1419.781
342,1378.025
343,1398.535
344,1401.465
345,1380.219
346,1414.649
347,1391.939
348,1364.104
349,1364.833
350,1358.973
351,1358.973
352,1357.508
353,1397.070
354,1358.973
355,1374.359
356,1394.869
357,1364.104
358,1394.869
359,1390.474
360,1364.833
361,1383.149
362,1372.158
363,1378.025
364,1372.158
365,1356.779
366,1358.973
367,1361.174
368,1375.095
369,1407.325
370,1394.140
371,1374.359
372,1383.885
373,1369.228
374,1394.140
375,1409.526
376,1410.254
377,1402.930
378,1397.806
379,1383.885
380,1403.666
381,1418.316
382,1419.781
383,1405.131
384,1403.666
385,1413.921
386,1404.395
387,1419.044
388,1417.579
389,1402.930
390,1378.754
391,1423.447
392,1402.930
393,1402.930
394,1398.535
395,1386.815
396,1408.061
397,1419.044
398,1423.447
399,1397.070
400,1385.350
401,1385.350
402,1390.474
403,1410.991
404,1422.710
405,1380.219
406,1421.982
407,1399.271
408,1379.490
409,1383.149
410,1391.210
411,1372.158
