'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1334.791
'0:00.004',1334.050
'0:00.008',1273.263
'0:00.012',1258.602
'0:00.016',1252.754
'0:00.020',1251.272
'0:00.023',1280.594
'0:00.027',1220.508
'0:00.031',1260.085
'0:00.035',1213.918
'0:00.039',1263.009
'0:00.043',1220.508
'0:00.047',1251.272
'0:00.051',1267.415
'0:00.055',1241.017
'0:00.059',1278.370
'0:00.063',1309.875
'0:00.066',1274.005
'0:00.070',1316.506
'0:00.074',1347.970
'0:00.078',1317.947
'0:00.082',1335.533
'0:00.086',1397.802
'0:00.090',1411.722
'0:00.094',1405.132
'0:00.098',1405.874
'0:00.102',1461.553
'0:00.105',1429.307
'0:00.109',1490.835
'0:00.113',1458.629
'0:00.117',1521.599
'0:00.121',1484.987
'0:00.125',1535.519
'0:00.129',1504.013
'0:00.133',1527.488
'0:00.137',1558.993
'0:00.141',1531.153
'0:00.145',1566.282
'0:00.148',1523.081
'0:00.152',1525.264
'0:00.156',1561.917
'0:00.160',1527.488
'0:00.164',1561.176
'0:00.168',1506.237
'0:00.172',1520.898
'0:00.176',1547.256
'0:00.180',1504.755
'0:00.184',1538.484
'0:00.188',1519.416
'0:00.191',1486.469
'0:00.195',1490.835
'0:00.199',1518.675
'0:00.203',1476.173
'0:00.207',1504.013
'0:00.211',1488.652
'0:00.215',1473.249
'0:00.219',1463.736
'0:00.223',1487.169
'0:00.227',1504.013
'0:00.230',1504.755
'0:00.234',1454.223
'0:00.238',1484.987
'0:00.242',1450.557
'0:00.246',1500.348
'0:00.250',1469.584
'0:00.254',1458.629
'0:00.258',1482.804
'0:00.262',1485.728
'0:00.266',1472.549
'0:00.270',1445.410
'0:00.273',1440.303
'0:00.277',1478.397
'0:00.281',1456.405
'0:00.285',1441.744
'0:00.289',1432.231
'0:00.293',1430.048
'0:00.297',1454.964
'0:00.301',1444.709
'0:00.305',1446.892
'0:00.309',1453.481
'0:00.313',1444.709
'0:00.316',1451.999
'0:00.320',1454.223
'0:00.324',1457.147
'0:00.328',1446.151
'0:00.332',1438.820
'0:00.336',1430.789
'0:00.340',1475.473
'0:00.344',1439.561
'0:00.348',1458.629
'0:00.352',1465.219
'0:00.355',1432.972
'0:00.359',1461.553
'0:00.363',1454.223
'0:00.367',1455.664
'0:00.371',1470.325
'0:00.375',1491.576
'0:00.379',1449.816
'0:00.383',1454.223
'0:00.387',1479.139
'0:00.391',1490.093
'0:00.395',1469.584
'0:00.398',1493.059
'0:00.402',1502.572
'0:00.406',1453.481
'0:00.410',1497.424
'0:00.414',1445.410
'0:00.418',1468.143
'0:00.422',1431.490
'0:00.426',1472.549
'0:00.430',1421.235
'0:00.434',1462.995
'0:00.438',1418.311
