'sample interval','wrist_ppg'
'0.00390625 sec','mV'
0,1271.776
1,1267.387
2,1254.219
3,1286.435
4,1257.159
5,1287.927
6,1315.754
7,1344.305
8,1350.910
9,1362.629
10,1378.013
11,1389.007
12,1377.288
13,1388.283
14,1364.121
15,1375.072
16,1372.899
17,1398.553
18,1392.672
19,1364.845
20,1387.558
21,1418.326
22,1421.991
23,1398.553
24,1434.434
25,1404.391
26,1445.428
27,1473.980
28,1438.823
29,1475.471
30,1495.969
31,1517.958
32,1504.747
33,1511.352
34,1528.185
35,1573.612
36,1548.001
37,1582.433
38,1562.617
39,1616.098
40,1588.271
41,1586.098
42,1610.260
43,1610.984
44,1616.098
45,1600.714
46,1638.811
47,1594.152
48,1629.308
49,1618.314
50,1586.098
51,1586.822
52,1608.811
53,1573.612
54,1537.731
55,1526.736
56,1506.239
57,1503.298
58,1515.017
59,1481.309
60,1421.991
61,1417.601
62,1388.283
63,1386.067
64,1342.856
65,1284.986
66,1262.997
67,1243.224
68,1227.116
69,1146.533
70,1151.647
71,1136.263
72,1095.950
73,1052.015
74,1013.193
75,1001.474
76,983.875
77,965.551
78,971.431
79,964.826
80,933.334
81,914.286
82,905.507
83,926.729
84,934.059
85,926.729
86,898.178
87,954.599
88,920.891
89,961.886
90,966.318
91,972.880
92,1023.463
93,1041.020
94,1063.734
95,1073.279
96,1066.674
97,1101.831
98,1096.717
99,1142.144
100,1175.084
101,1172.911
102,1161.917
103,1197.073
104,1241.008
105,1217.571
106,1248.338
107,1278.381
108,1300.370
109,1293.765
110,1286.435
111,1301.094
112,1351.635
113,1372.175
114,1351.635
115,1391.223
116,1393.397
117,1406.607
118,1388.283
119,1438.823
120,1397.786
121,1432.218
122,1428.553
123,1413.937
124,1427.829
125,1461.536
126,1412.445
127,1445.428
128,1410.272
129,1402.942
130,1422.715
131,1372.899
132,1399.277
133,1360.456
134,1335.527
135,1370.683
136,1362.629
137,1339.916
138,1340.640
139,1322.359
140,1301.819
141,1286.435
142,1306.975
143,1300.370
144,1290.824
145,1280.597
146,1258.608
147,1284.262
148,1258.608
149,1276.932
150,1275.441
151,1283.537
152,1278.381
153,1286.435
154,1284.986
155,1271.051
156,1267.387
157,1274.716
158,1284.262
159,1277.657
160,1299.645
161,1276.208
162,1262.273
163,1281.321
164,1294.489
165,1266.662
166,1273.267
167,1277.657
168,1296.705
169,1294.489
170,1276.208
171,1271.051
172,1264.489
173,1248.338
174,1290.824
175,1292.316
176,1288.651
177,1253.494
178,1283.537
179,1259.332
180,1273.992
181,1308.424
182,1295.256
183,1297.430
184,1279.105
185,1280.597
186,1295.981
187,1304.035
188,1292.316
189,1296.705
190,1304.035
191,1353.126
192,1356.024
193,1360.456
194,1344.305
195,1356.024
196,1352.402
197,1340.640
198,1333.353
199,1345.797
200,1326.024
201,1301.819
202,1269.602
203,1266.662
204,1287.927
205,1264.489
206,1221.235
207,1241.775
208,1212.457
209,1235.895
210,1230.057
211,1259.332
212,1221.960
213,1238.111
214,1268.878
215,1331.137
216,1335.527
217,1337.742
218,1411.721
219,1402.218
220,1465.201
221,1501.849
222,1525.287
223,1547.233
224,1557.503
225,1575.828
226,1583.882
227,1586.822
228,1571.438
229,1536.282
