'Elapsed time','wrist_ppg'
'hh:mm:ss.mmm','mV'
'0:00.000',1394.888
'0:00.004',1388.283
'0:00.008',1347.245
'0:00.012',1375.839
'0:00.016',1349.461
'0:00.020',1367.785
'0:00.023',1361.905
'0:00.027',1350.186
'0:00.031',1392.672
'0:00.035',1364.121
'0:00.039',1400.002
'0:00.043',1361.905
'0:00.047',1394.888
'0:00.051',1369.959
'0:00.055',1402.942
'0:00.059',1383.894
'0:00.063',1402.218
'0:00.066',1404.391
'0:00.070',1394.888
'0:00.074',1399.277
'0:00.078',1402.942
'0:00.082',1423.439
'0:00.086',1427.829
'0:00.090',1390.456
'0:00.094',1397.786
'0:00.098',1397.061
'0:00.102',1419.050
'0:00.105',1383.894
'0:00.109',1386.834
'0:00.113',1407.331
'0:00.117',1425.655
'0:00.121',1427.104
'0:00.125',1392.672
'0:00.129',1417.601
'0:00.133',1426.380
'0:00.137',1430.769
'0:00.141',1446.877
'0:00.145',1456.423
'0:00.148',1458.596
'0:00.152',1446.877
'0:00.156',1471.806
'0:00.160',1482.801
'0:00.164',1471.806
'0:00.168',1473.255
'0:00.172',1485.699
'0:00.176',1497.418
'0:00.180',1504.023
'0:00.184',1515.742
'0:00.188',1519.406
'0:00.191',1531.850
'0:00.195',1544.336
'0:00.199',1550.898
'0:00.203',1555.330
'0:00.207',1550.898
'0:00.211',1565.558
'0:00.215',1557.503
'0:00.219',1558.995
'0:00.223',1567.773
'0:00.227',1597.816
'0:00.230',1578.001
'0:00.234',1580.941
'0:00.238',1578.001
'0:00.242',1570.714
'0:00.246',1556.055
'0:00.250',1550.898
'0:00.254',1545.785
'0:00.258',1540.671
'0:00.262',1543.569
'0:00.266',1533.341
'0:00.270',1517.233
'0:00.273',1526.012
'0:00.277',1539.179
'0:00.281',1507.688
'0:00.285',1490.855
'0:00.289',1485.699
'0:00.293',1488.639
'0:00.297',1497.418
'0:00.301',1516.466
'0:00.305',1490.131
'0:00.309',1490.855
'0:00.313',1507.688
'0:00.316',1508.412
'0:00.320',1524.563
'0:00.324',1535.515
'0:00.328',1534.066
'0:00.332',1526.012
'0:00.336',1537.006
